Author_ID;Original_Name;Standardized_Name;Number_of_papers
261;Ali, Md.J.;Ali, Md.J.;1
262;Ali, S.;Ali, S.;4
263;Ali, S.H.A.;Ali, S.H.A.;1
264;Ali, S.H.M.;Ali, S.H.M.;1
265;Ali, S.S.;Ali, S.S.;1
266;Ali, T.;Ali, T.;3
267;Ali El-Sherif, E.;Ali El-Sherif, E.;1
268;Alif, M.A.R.;Alif, M.A.R.;1
269;Alihodzic, A.;Alihodzic, A.;1
270;Alija, J.;Alija, J.;1
271;Ali Meerza, S.I.;Ali Meerza, S.I.;1
272;Alimi, A.;Alimi, A.;1
273;Alimi, A.M.;Alimi, A.M.;16
274;Alimoglu, Fevzi;Alimoglu, Fevzi;1
275;Alimova, A.;Alimova, A.;1
276;Alipour, M.;Alipour, M.;1
277;Alirezae, S.;Alirezaee, S.;1
278;Alirezaee, S.;Alirezaee, S.;2
279;Aliyeva, N.;Aliyeva, N.;1
280;Alizadehashraf, B.;Alizadehashraf, B.;1
281;Aljaam, J.M.;Aljaam, J.M.;1
282;Al-Jarrah, O.;Al-Jarrah, O.;1
283;Al-Jawad, N.;Al-Jawad, N.;2
284;Aljawarneh, S.;Aljawarneh, S.;1
285;Al-Jawfi, R.;Al-Jawfi, R.;1
286;Al-Jourishi, A.A.;Al-Jourishi, A.A.;1
287;Aljuaid, H.;Aljuaid, H.;2
288;Al-Jubouri, M.;Al-Jubouri, M.;1
289;Alkatheiri, M.S.;Alkatheiri, M.S.;1
290;Alkawaz, M.H.;Alkawaz, M.H.;1
291;Alkhalifa, E.M.;Alkhalifa, E.M.;1
292;Al-Kharousi, F.;Al-Kharousi, F.;1
293;Alkhasawneh, M.S.;Alkhasawneh, M.S.;1
294;Al-Khassaweneh, M.A.;Al-Khassaweneh, M.A.;1
295;Al-Khateeb, B.;Al-Khateeb, B.;1
296;Alkhateeb, J.H.;Alkhateeb, J.H.;6
297;AlKhateeb, J.H.;AlKhateeb, J.H.;1
298;Al-Khatib, W.;Al-Khatib, W.;1
299;Al-Khatib, W.G.;Al-Khatib, W.G.;2
300;Alkhawaldeh, R.S.;Alkhawaldeh, R.S.;1
301;Alkhawaldeh, S.A.;Alkhawaldeh, S.A.;1
302;Alkon, D.L.;Alkon, D.L.;1
303;Alksasbeh, M.Z.;Alksasbeh, M.Z.;1
304;Al Kubisi, H.;Al Kubisi, H.;1
305;Al-Kurbi, A.-A.;Al-Kurbi, A.-A.;1
306;Alla, P.-Y.;Alla, P.-Y.;1
307;Allawi, E.T.;Allawi, E.T.;1
308;Allen, C.R.;Allen, C.R.;1
309;Allen, K.M.;Allen, K.M.;1
310;Allgrove, C.;Allgrove, C.;1
311;Alma'adeed, S.;Alma'adeed, S.;2
312;Alma'Adeed, S.;Alma'Adeed, S.;1
313;Al-Ma'adeed, S.;Al-Ma'adeed, S.;2
314;Almaadeed, S.;Almaadeed, S.;1
315;Al-Maadeed, S.;Al-Maadeed, S.;2
316;Almahafzah, H.;Almahafzah, H.;1
317;Almaksour, A.;Almaksour, A.;2
318;Almamlook, R.;Almamlook, R.;1
319;Almansari, O.A.;Almansari, O.A.;1
320;Almazan, J.;Almazán, J.;1
321;Almazán, J.;Almazán, J.;2
322;Almeida, A.C.;Almeida, A.C.;1
323;Al-Mhiqani, M.N.;Al-Mhiqani, M.N.;1
324;Almodfer, R.;Almodfer, R.;5
325;Almotaeryi, R.;Almotaeryi, R.;1
326;Almotairi, S.;Almotairi, S.;1
327;Almotiri, J.;Almotiri, J.;1
328;Al Mubarok, A.;Al Mubarok, A.;1
329;Al-Muhtaseb, H.;Al-Muhtaseb, H.;1
330;Al-Muslih, A.;Al-Muslih, A.;1
331;Al-Mutairy, A.;Al-Mutairy, A.;1
332;Al-Nabhan, N.;Al-Nabhan, N.;1
333;Al-Najdawi, N.;Al-Najdawi, N.;1
334;Al Nasim, M.A.;Al Nasim, M.A.;1
335;Al-Nassiri, A.;Al-Nassiri, A.;1
336;Al Nazi, Z.;Al Nazi, Z.;1
337;Al-Nuzaili, Q.;Al-Nuzaili, Q.;2
338;Al-Nuzaili, Q.A.;Al-Nuzaili, Q.A.;1
339;Al-Ohali, Y.;Al-Ohali, Y.;3
340;Alom, M.S.;Alom, M.S.;1
341;Alom, M.Z.;Alom, M.Z.;1
342;Al-Omari, A.;Al-Omari, A.;1
343;Al-Omari, F.;Al-Omari, F.;1
344;Al-Omari, F.A.;Al-Omari, F.A.;1
345;Alomari, Y.M.;Alomari, Y.M.;1
346;Alone, S.;Alone, S.;1
347;Alonso, C.;Alonso, C.;1
348;Alonso, Itziar G.;Alonso, Itziar G.;1
349;Alonso, J.B.;Alonso, J.B.;4
350;Alonso-Weber, J.M.;Alonso-Weber, J.M.;3
351;Alouani, A.T.;Alouani, A.T.;2
352;Aloun, M.;Aloun, M.;1
353;Alpaydin, E.;Alpaydin, E.;1
354;Alpaydin, Ethem;Alpaydin, Ethem;1
355;Al-Qahtani, R.;Al-Qahtani, R.;1
356;Al-Qaness, M.A.A.;Al-Qaness, M.A.A.;1
357;Alqaralleh, B.A.Y.;Alqaralleh, B.A.Y.;1
358;Al-Qodah, M.;Al-Qodah, M.;1
359;Alqudah, A.;Alqudah, A.;1
360;Al-Quhayz, H.;Al-Quhayz, H.;1
361;Al-Qurishi, M.;Al-Qurishi, M.;1
362;Alrashidi, M.;Alrashidi, M.;1
363;Al-Rawashdeh, E.F.;Al-Rawashdeh, E.F.;1
364;Al Rawashdeh, T.;Al Rawashdeh, T.;1
365;Al-Sadoun, H.;Al-Sadoun, H.;1
366;Al-Saleh, S.M.;Al-Saleh, S.M.;1
367;Al-Saqqar, F.;Al-Saqqar, F.;2
368;Alseid, M.;Alseid, M.;1
369;Al-Shamaileh, M.Z.;Al-Shamaileh, M.Z.;1
370;Al-Shatnawi, A.;Al-Shatnawi, A.;1
371;Al-Shatnawi, A.M.;Al-Shatnawi, A.M.;1
372;Alshayeb, M.;Alshayeb, M.;1
373;Alshboul, A.A.;Alshboul, A.A.;1
374;Al-Shoshan, A.I.;Al-Shoshan, A.I.;1
375;Al-Showarah, S.;Al-Showarah, S.;1
376;Al-Showarah, S.A.;Al-Showarah, S.A.;1
377;Al-Shridah, M.;Al-Shridah, M.;1
378;Alspector, J.;Alspector, J.;2
379;Alsuhibany, S.A.;Alsuhibany, S.A.;1
380;Alsulaiman, F.A.;Alsulaiman, F.A.;4
381;Alswady, B.;Alswady, B.;1
382;Al-Talib, G.;Al-Talib, G.;1
383;Althobaiti, H.;Althobaiti, H.;3
384;Al-Turaiki, I.;Al-Turaiki, I.;1
385;Altwaijry, N.;Altwaijry, N.;1
386;Alty, S.R.;Alty, S.R.;1
387;Alvandi, P.;Alvandi, P.;1
388;Álvarez, D.;Álvarez, D.;2
389;Álvaro, F.;Álvaro, F.;1
390;Alves, V.M.O.;Alves, V.M.O.;3
391;Al-Wajih, E.;Al-Wajih, E.;1
392;Aly, S.;Aly, S.;2
393;Al-Zoubaidy, L.M.;Al-Zoubaidy, L.M.;1
394;Al-Zoubi, H.R.;Al-Zoubi, H.R.;2
395;Alzubaidi, L.;Alzubaidi, L.;2
396;Alzyadat, W.;Alzyadat, W.;1
397;Amar, C.B.;Amar, C.B.;1
398;Amara, M.;Amara, M.;2
399;Amara, N.E.B.;Amara, N.E.B.;4
400;Amaral, A.M.M.M.;Amaral, A.M.M.M.;2
401;Amardeep, S.D.;Amardeep, S.D.;1
402;Amarnath, R.;Amarnath, R.;1
403;Amasha, M.A.;Amasha, M.A.;1
404;Amashukeli, S.;Amashukeli, S.;1
405;Ambati, R.;Ambati, R.;1
406;Ambaw, A.;Ambaw, A.;1
407;Ameerjohn, S.;Ameerjohn, S.;1
408;Ameri, M.R.;Ameri, M.R.;1
409;Ameur, A.;Ameur, A.;1
410;Amin, A.;Amin, A.;14
411;Amin, Adnan;Amin, Adnan;3
412;Amin, M.A.;Amin, M.A.;1
413;Amin, M.F.;Amin, M.F.;1
414;Amin, M.S.;Amin, M.S.;1
415;Amin, O.B.;Amin, O.B.;1
416;Amini, M.;Amini, M.;1
417;Amirfattahi, R.;Amirfattahi, R.;2
418;Amirgaliyev, B.;Amirgaliyev, B.;1
419;Amirgaliyev, Y.;Amirgaliyev, Y.;1
420;Amiri, A.;Amiri, A.;4
421;Amiri, H.;Amiri, H.;5
422;Amiri, M.S.;Amiri, M.S.;1
423;Amirkhani-Shahraki, A.;Amirkhani-Shahraki, A.;1
424;Amitab, K.;Amitab, K.;1
425;Amitha, T.;Amitha, T.;1
426;Amma, C.;Amma, C.;4
427;Amory, A.D.M.;Amory, A.D.M.;1
428;Amrouch, M.;Amrouch, M.;7
429;Amrutha, K.S.;Amrutha, K.S.;1
430;Amruthalakshmi;Amruthalakshmi;1
431;Amruthavenkatasrujana, D.;Amruthavenkatasrujana, D.;1
432;Amulya, B.;Amulya, B.;1
433;An, W.;An, W.;1
434;An, X.;An, X.;1
435;An, Y.;An, Y.;1
436;Anami, B.;Anami, B.;1
437;AnandaKumar, K.R.;AnandaKumar, K.R.;1
438;Anand Kumar, M.;Anand Kumar, M.;1
439;Anannya, T.T.;Anannya, T.T.;1
440;Anantaprayoon, P.;Anantaprayoon, P.;1
441;Ananth, J.P.;Ananth, J.P.;1
442;Anastasiou, K.;Anastasiou, K.;1
443;An-Bang, W.;An-Bang, W.;1
444;Anbukkarasi, S.;Anbukkarasi, S.;1
445;Andersson, K.;Andersson, K.;1
446;Andhi, R.R.;Andhi, R.R.;1
447;Andrade Saraiva, A.;Andrade Saraiva, A.;1
448;Andrés-Ferrer, J.;Andrés-Ferrer, J.;4
449;Andrew, B.J.T.;Andrew, B.J.T.;1
450;Andrews, L.;Andrews, L.;1
451;Andrian, J.;Andrian, J.;1
452;Andrianasy, Fidimahery;Andrianasy, Fidimahery;1
453;Andriani, F.Y.;Andriani, F.Y.;1
454;Aneja, N.;Aneja, N.;1
455;Aneja, S.;Aneja, S.;1
456;Angelova, M.;Angelova, M.;2
457;Aniket, S.;Aniket, S.;1
458;Anikin, I.V.;Anikin, I.V.;1
459;Anilkumar, S.;Anilkumar, S.;1
460;Anisimova, E.S.;Anisimova, E.S.;1
461;Anisimovich, K.V.;Anisimovich, K.V.;2
462;Anisimovich, Konstantin;Anisimovich, Konstantin;1
463;Anita, H.B.;Anita, H.B.;3
464;Anitha, R.;Anitha, R.;1
465;Anjali, E.P.;Anjali, E.P.;1
466;Anjum Nipa, N.;Anjum Nipa, N.;1
467;Anjusha, P.;Anjusha, P.;1
468;Annadurai, S.;Annadurai, S.;1
469;Annanurov, B.;Annanurov, B.;3
470;Anquetil, E.;Anquetil, E.;12
471;Anquetil, É.;Anquetil, E.;2
472;Anraeni, S.;Anraeni, S.;1
473;Ansari, N.;Ansari, N.;1
474;Ansari, S.;Ansari, S.;1
475;Antal, G.;Antal, G.;1
476;Anthony, L.;Anthony, L.;1
477;Anto, P.B.;Anto, P.B.;1
478;Anton, C.;Anton, C.;1
479;Anton, K.;Anton, K.;1
480;Antonacopoulos, A.;Antonacopoulos, A.;1
481;Antonakopoulos, T.;Antonakopoulos, T.;4
482;Antoniades, N.;Antoniades, N.;1
483;Antoniadis, G.;Antoniadis, G.;1
484;Antonik, P.;Antonik, P.;1
485;Antony, P.J.;Antony, P.J.;2
486;Anusha, P.;Anusha, P.;1
487;Anwar, M.A.;Anwar, M.A.;1
488;Ao, X.;Ao, X.;5
489;Aoshima, S.;Aoshima, S.;1
490;Aouadi, N.;Aouadi, N.;1
491;Aouina, N.;Aouina, N.;1
492;Aouiti, N.;Aouiti, N.;1
493;Aparna, S.;Aparna, S.;1
494;Aprameya, K.S.;Aprameya, K.S.;1
495;Apte, S.;Apte, S.;6
496;Aqab, S.;Aqab, S.;1
497;Araabi, B.N.;Araabi, B.N.;4
498;Arab, N.;Arab, N.;2
499;Arabfard, M.;Arabfard, M.;1
500;Aradhya, V.N.M.;Aradhya, V.N.M.;9
501;Aradillas Jaramillo, J.C.;Aradillas Jaramillo, J.C.;1
502;Arafat, Hesham;Arafat, Hesham;1
503;Araki, N.;Araki, N.;1
504;Arani, S.A.A.A.;Arani, S.A.A.A.;1
505;Aranian, M.J.;Aranian, M.J.;1
506;Aravinda, C.V.;Aravinda, C.V.;2
507;Arbain, N.A.;Arbain, N.A.;1
508;Archana, S.;Archana, S.;1
509;Aref, I.;Aref, I.;1
510;Arefin, N.;Arefin, N.;1
511;Arefin Zaman, M.M.;Arefin Zaman, M.M.;1
512;Ares Oliveira, S.;Ares Oliveira, S.;1
513;Arezki, M.;Arezki, M.;1
514;Arezoomand, A.S.;Arezoomand, A.S.;1
515;Argamon, S.;Argamon, S.;1
516;Argones Rúa, E.;Argones Rúa, E.;1
517;Arias, N.A.;Arias, N.A.;2
518;Arica, N.;Arica, N.;4
519;Arica, Nafiz;Arica, Nafiz;1
520;Arif, A.F.;Arif, A.F.;1
521;Arif, F.;Arif, F.;1
522;Arif, R.B.;Arif, R.B.;2
523;Ariki, Y.;Ariki, Y.;1
525;Arivazhagan, M.;Arivazhagan, M.;1
526;Arivazhagan, S.;Arivazhagan, S.;1
527;Ariyanto;Ariyanto;1
528;Arjun, M.M.;Arjun, M.M.;1
529;Arlandis, J.;Arlandis, J.;4
530;Armiato, D.A.;Armiato, D.A.;1
531;Arnia, F.;Arnia, F.;1
532;Arolkar, H.A.;Arolkar, H.A.;1
533;Arora, A.;Arora, A.;1
534;Arora, I.;Arora, I.;1
535;Arora, S.;Arora, S.;6
536;Arrivault, D.;Arrivault, D.;1
537;Arsad, N.;Arsad, N.;1
538;Artieres, T.;Artieres, T.;2
539;Artières, T.;Artières, T.;2
540;Aruci, M.;Aruci, M.;1
541;Arumugam, S.;Arumugam, S.;3
542;Arun, M.;Arun, M.;1
543;Arunrungrusmi, S.;Arunrungrusmi, S.;1
544;Arvind, R.Y.;Arvind, R.Y.;1
545;Arvo, J.;Arvo, J.;1
546;Arya, S.;Arya, S.;1
547;Aryan, P.R.;Aryan, P.R.;1
548;Arymurthy, A.M.;Arymurthy, A.M.;1
549;Asadi, M.;Asadi, M.;1
550;Asaduzzaman;Asaduzzaman;1
551;Asadzadeh Kaljahi, M.;Asadzadeh Kaljahi, M.;1
552;Asakawa, A.;Asakawa, A.;1
553;Asakawa, Atsuko;Asakawa, Atsuko;1
554;Asakawa, Atuko;Asakawa, Atuko;1
555;Asari, V.K.;Asari, V.K.;1
556;Asdornwised, W.;Asdornwised, W.;1
557;Asebriy, Z.;Asebriy, Z.;1
558;Asha, K.;Asha, K.;2
559;Ashiquzzaman, A.;Ashiquzzaman, A.;2
560;Ashlin Deepa, R.N.;Ashlin Deepa, R.N.;3
561;Ashok, J.;Ashok, J.;1
562;Ashrafi, Z.;Ashrafi, Z.;1
563;Ashtiany, F.T.;Ashtiany, F.T.;1
564;Asif, M.;Asif, M.;1
565;Askari, M.;Askari, M.;1
566;Askari Hemmat, A.;Askari Hemmat, A.;1
567;Aslam, M.S.;Aslam, M.S.;2
568;Aso, H.;Aso, H.;3
569;Asp, C.;Asp, C.;1
570;Asra, S.;Asra, S.;1
571;Assabie, Y.;Assabie, Y.;3
572;Assaduzzaman, M.;Assaduzzaman, M.;1
