Keyword_ID;Original_Keyword;Standardized_Keyword
62;FEATURE-EXTRACTION;HIGH-LEVEL-FEATURE-EXTRACTION
63;FEATURE-EXTRACTION;FEATURE-VECTORS
64;FEATURE-EXTRACTION;HYBRID-FEATURE-EXTRACTION
65;FEATURE-EXTRACTION;SHADOW-FEATURES
66;FEATURE-EXTRACTION;FEATURE-EXTRACTION-ALGORITHM
67;FEATURE-EXTRACTION;MOTION-ANALYSIS-AND-FEATURE-EXTRACTION
68;FEATURE-EXTRACTION;FEATURE-EXTRACTION-TECHNIQUES
69;FEATURE-EXTRACTION;MATRA/-SHIROREKHA-BASED-FEATURE
70;FEATURE-EXTRACTION;FEATURE-SELECTION/EXTRACTION
71;FEATURE-EXTRACTION;MACRO-FEATURES
72;FEATURE-EXTRACTION;FEATURE-EXTRACTING
73;FEATURE-EXTRACTION;GENERAL-FEATURES
74;FEATURE-EXTRACTION;SPECIFIC-FEATURES
75;FEATURE-EXTRACTION;CHARACTERISTICS
76;FEATURE-EXTRACTION;BAG-OF-FEATURES
77;FEATURE-EXTRACTION;DIAGONAL-FEATURES
78;FEATURE-EXTRACTION;TRANSITION-FEATURES
79;FEATURE-EXTRACTION;FEATURE-REPRESENTATION
80;FEATURE-EXTRACTION;FEATURES-VECTOR
81;FEATURE-EXTRACTION;FEATURE-SPACE
82;FEATURE-EXTRACTION;OFF-LINE-FEATURES
83;FEATURE-EXTRACTION;SPARSIFICATION-OF-FEATURES
84;FEATURE-EXTRACTION;EXTRACTING-FEATURES
85;FEATURE-EXTRACTION;PARABOLA-CURVE-FITTING-BASED-FEATURES
86;FEATURE-EXTRACTION;POWER-CURVE-FITTING-BASED-FEATURES
87;FEATURE-EXTRACTION;PEAK-EXTENT-FEATURES
88;FEATURE-EXTRACTION;IMAGE-PROCESSING;-FEATURE-EXTRACTION
89;FEATURE-EXTRACTION;TRANSITION-FEATURE
90;FEATURE-EXTRACTION;INFORMATION-EXTRACTION
91;FEATURE-EXTRACTION;SPATIAL-FEATURES
92;FEATURE-EXTRACTION;WATER-RESERVOIR-FEATURES
93;FEATURE-EXTRACTION;MACRO-FEATURE
94;FEATURE-EXTRACTION;WATER-RESERVOIR-FEATURE
95;FEATURE-EXTRACTION;NON-LINEAR-FEATURES
96;FEATURE-EXTRACTION;MODIFIED-DIRECTION-FEATURE
97;FEATURE-EXTRACTION;FEATURE-EXTRACTION-AND-SELECTION
98;FEATURE-EXTRACTION;FEATURE-EXCTRACTION
99;FEATURE-EXTRACTION;SENSITIVITY-OF-THE-MARGIN-TO-A-FEATURE
100;FEATURE-EXTRACTION;SIGNIFICANT-FEATURES
101;FEATURE-EXTRACTION;FEATURE-VECTOR
102;FEATURE-EXTRACTION;EIGEN-FEATURE-REGULARIZATION-AND-EXTRACTION
103;FEATURE-EXTRACTION;CHARACTER-FEATURE-EXTRACTION
104;FEATURE-EXTRACTION;DIAGONAL-FEATURE-EXTRACTION
105;FEATURE-EXTRACTION;SIGMA-FEATURE
106;FEATURE-EXTRACTION;HANDWRITING-FEATURES
107;FEATURE-EXTRACTION;SPATIAL-FEATURE
108;FEATURE-EXTRACTION;FEATURE-EXTRACTION-AND-CLASSIFICATION
109;FEATURE-EXTRACTION;FEATURE-EXTRACTION-METHODS
110;FEATURE-EXTRACTION;FEATURE-SET
111;FEATURE-EXTRACTION;FEATURE-SET-EVALUATION
112;FEATURE-EXTRACTION;POLYGONAL-APPROXIMATION-BASED-FEATURES
113;FEATURE-EXTRACTION;HAND-CRAFTED-FEATURE
114;FEATURE-EXTRACTION;SCRIPT-DEPENDENT-FEATURE
115;FEATURE-EXTRACTION;MULTI-FEATURE
116;FEATURE-EXTRACTION;FEATURE-EXTRACTION-PROCESS
117;FEATURE-EXTRACTION;EXTRACTION-FEATURES
118;FEATURE-EXTRACTION;FEATURE-BASED-RECOGNITION
119;FEATURE-EXTRACTION;HANDCRAFT-FEATURE
120;FEATURE-EXTRACTION;SPEED-AND-UNIQUE-LETTER-FEATURES
121;FEATURE-EXTRACTION;SEMANTIC-INVARIANT-FEATURES
122;FEATURE-EXTRACTION;POINT-FEATURE
123;FEATURE-EXTRACTION;FEATURE-BASED-REPRESENTATION
124;FEATURE-EXTRACTION;EXTRACTION-FEATURE
125;FEATURE-EXTRACTION;TRIANGLE-FEATURE
126;FEATURE-EXTRACTION;META-FEATURES-SPACE
127;FEATURE-EXTRACTION;TAMURA-TEXTURE-FEATURES
128;FEATURE-EXTRACTION;HYBRID-FEATURES-EXTRACTION
129;FEATURE-EXTRACTION;MULTI-SCALE-FEATURES
130;FEATURE-EXTRACTION;NON-HANDCRAFTED-FEATURE
131;FEATURE-EXTRACTION;PAGE-LEVEL-WORD-FEATURE-EXTRACTION
132;FEATURE-EXTRACTION;SHADOW-FEATURE
133;FEATURE-EXTRACTION;CHARACTER-FEATURES-EXTRACTION
134;FEATURE-EXTRACTION;ROBUST-FEATURE-EXTRACTION
135;FEATURE-EXTRACTION;MULTI-SCALED-FEATURES
136;FEATURE-EXTRACTION;HAND-CRAFTED-FEATURES
137;FEATURE-EXTRACTION;FEATURES-EXTRACTIONS
138;FEATURE-EXTRACTION;HAND-DESIGNED-FEATURES-EXTRACTION
139;FEATURE-EXTRACTION;SEMANTIC-FEATURE
140;CHARACTER RECOGNITION;CHARACTER-RECOGNITION
141;CHARACTER RECOGNITION;OCR
142;CHARACTER RECOGNITION;COMBINED-CHARACTER-RECOGNITION-ALGORITHM
143;CHARACTER RECOGNITION;HANDPRINTED-CHARACTER-RECOGNITION
144;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-RECOGNITION
145;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTERS
146;CHARACTER RECOGNITION;OFF-LINE-CHARACTER-RECOGNITION
147;CHARACTER RECOGNITION;HANDPRINTED-CHARACTERS
148;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNITION
149;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER
150;CHARACTER RECOGNITION;ISOLATED
151;CHARACTER RECOGNITION;LARGE-SET-HANDWRITTEN-CHARACTER-RECOGNITION
152;CHARACTER RECOGNITION;OCR-MACHINE
153;CHARACTER RECOGNITION;HANDWRITING-CHARACTERISTICS
154;CHARACTER RECOGNITION;CHARACTER-RECOGNITION-(ALPHABETIC)
155;CHARACTER RECOGNITION;OPTICAL-HANDWRITTEN-CHARACTER-RECOGNITION
156;CHARACTER RECOGNITION;OFF-LINE-HANDWRITTEN-CHARACTER-RECOGNITION
157;CHARACTER RECOGNITION;ALPHANUMERIC-CHARACTER
158;CHARACTER RECOGNITION;BROKEN-CHARACTER-MENDING-ALGORITHM
159;CHARACTER RECOGNITION;BROKEN-CHARACTER-MENDING
160;CHARACTER RECOGNITION;CHARACTER-AND-CURSIVE-SCRIPTS-RECOGNITION
161;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNITON
162;CHARACTER RECOGNITION;HAND-PRINTED-CHARACTERS
163;CHARACTER RECOGNITION;HANDPRINTED-CHARACTER
164;CHARACTER RECOGNITION;HANDWRITING-CHARACTERISATION
165;CHARACTER RECOGNITION;CHARACTER
166;CHARACTER RECOGNITION;UNCONSTRAINED-HANDWRITTEN-CHARACTER-RECOGNITION
167;CHARACTER RECOGNITION;HAND-PRINTED-CHARACTER-RECOGNITION
168;CHARACTER RECOGNITION;CHARACTER-RECOGNITION-(CR)
169;CHARACTER RECOGNITION;CHARACTER-CLASSIFICATION
170;CHARACTER RECOGNITION;OFFLINE-CHARACTER-RECOGNITION
171;CHARACTER RECOGNITION;ISOLATED-CHARACTERS
172;CHARACTER RECOGNITION;HAND-WRITTEN-CHARACTER-RECOGNITION
173;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-RECOGNITION-AND-VERIFICATION
174;CHARACTER RECOGNITION;CHARACTER-MODELS
175;CHARACTER RECOGNITION;OCR-HANDPRINT-RECOGNITION
176;CHARACTER RECOGNITION;ISOLATED-CHARACTER-RECOGNITION
177;CHARACTER RECOGNITION;OFFLINE-HANDWRITTEN-CHARACTER-RECOGNITION
178;CHARACTER RECOGNITION;CANDIDATE-CHARACTER-SET
179;CHARACTER RECOGNITION;OPTICAL-CHARACTER-READER-(OCR)
180;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNITION-SOFTWARE
181;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-INPUT
182;CHARACTER RECOGNITION;RECOGNITION-OF-HANDWRITTEN-CHARACTERS
183;CHARACTER RECOGNITION;MULTIRESOLUTION-RECOGNITION-OF-CHARACTERS
184;CHARACTER RECOGNITION;MULTISTAGE-RECOGNITION-OF-CHARACTERS
185;CHARACTER RECOGNITION;OCR-ARCHITECTURE
186;CHARACTER RECOGNITION;OCR-BENCHMARKING
187;CHARACTER RECOGNITION;OCR;-DOCUMENT-IMAGE-ANALYSIS
188;CHARACTER RECOGNITION;HCR
189;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNITION-(OCR)
190;CHARACTER RECOGNITION;HANDWRIITEN-CHARACTER-RECOGNITION
191;CHARACTER RECOGNITION;ISOLATED-HANDWRITTEN-CHARACTERS
192;CHARACTER RECOGNITION;OCR-A-AND-DIGITIZATION
193;CHARACTER RECOGNITION;OFF-LINE-CHARACTER-RECOGNTION
194;CHARACTER RECOGNITION;HANDWRITTEN-OCR
195;CHARACTER RECOGNITION;CHARACTER-RECOGNITION-SYSTEM
196;CHARACTER RECOGNITION;HAND-WRITTEN-CHARACTERS
197;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTERS-RECOGNITION
198;CHARACTER RECOGNITION;ICR-(INTELLIGENT-CHARACTER-RECOGNITION)
199;CHARACTER RECOGNITION;ICR
200;CHARACTER RECOGNITION;CONSTRAINED-CHARACTER-RECOGNITION
201;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-CLASSIFICATION
202;CHARACTER RECOGNITION;CHARACTERS
203;CHARACTER RECOGNITION;OPTICAL-CHARACTERS-RECOGNITION
204;CHARACTER RECOGNITION;HANDWRITING-CHARACTER-RECOGNITION
205;CHARACTER RECOGNITION;ISOLATED-CHARACTER-RECONGITION
206;CHARACTER RECOGNITION;SIMILAR-SHAPED-CHARACTER-RECOGNITION
207;CHARACTER RECOGNITION;CHARACTER-RCOGNITION
208;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNIZER
209;CHARACTER RECOGNITION;OHCR
210;CHARACTER RECOGNITION;HANDWITTEN-CHARACTER-RECOGNITION
211;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-RECOGNITION-(HCR)
212;CHARACTER RECOGNITION;OFF-LINE-CHARACTERS-RECOGNITION
213;CHARACTER RECOGNITION;HANDWRITTEN-SIMILAR-CHARACTER-RECOGNITION
214;CHARACTER RECOGNITION;OCR-SYSTEM
215;CHARACTER RECOGNITION;OPTICAL-RECOGNITION-SYSTEM-(OCR)
216;CHARACTER RECOGNITION;HANDPRINTEDCHARACTER
217;CHARACTER RECOGNITION;HANDWRITTEN-DIGITAL-CHARACTER-RECOGNITION
218;CHARACTER RECOGNITION;OPTICAL-CHARACTER
219;CHARACTER RECOGNITION;INTEGRATED-ONLINE-OFFLINE-CHARACTER-RECOGNITION
220;CHARACTER RECOGNITION;HANDWRITTEN-COMPOUND-CHARACTER
221;CHARACTER RECOGNITION;INTELLIGENT-CHARACTER-RECOGNITION
222;CHARACTER RECOGNITION;OCR-APPLICATIONS
223;CHARACTER RECOGNITION;OFFLINE-HANDWRITTEN-CHARACTER
224;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNTION
225;CHARACTER RECOGNITION;ISOLATED-CHARACTER
226;CHARACTER RECOGNITION;HCRF
227;CHARACTER RECOGNITION;HOCR
228;CHARACTER RECOGNITION;OFFLINE-CHARACTERS-RECOGNITION
229;CHARACTER RECOGNITION;OFF-LINE-HCCR
230;CHARACTER RECOGNITION;HANDWRITTEN-CHARACTER-RECOGNITION.
231;CHARACTER RECOGNITION;OPTICAL-CHARACTER-RECOGNITION(OCR)
232;CHARACTER RECOGNITION;CURSIVE-HANDWRITTEN-CHARACTER
233;CHARACTER RECOGNITION;OFFLINE-CHARACTERS
234;CHARACTER RECOGNITION;QUADRATIC-DISCRIMINANT-OFFLINE-HANDWRITTEN-CHARACTER
235;CHARACTER RECOGNITION;OFF-LINE-OPTICAL-CHARACTER-RECOGNITION
236;CHARACTER RECOGNITION;OPTICAL-CHARACTER-REORGANIZATION
237;CHARACTER RECOGNITION;OFFLINE-HCCR
238;CHARACTER RECOGNITION;CRS-(CHARACTER-RECOGNITION-SYSTEM)
239;CHARACTER RECOGNITION;CHARACTER-RECOGNITIO
240;CHARACTER RECOGNITION;HYBRID-OCR
241;CHARACTER RECOGNITION;CHARACTER-RECOGNIITON
242;CHARACTER RECOGNITION;CHARACTER-MODELLING
243;CHARACTER RECOGNITION;BROKEN-CHARACTERS
244;CHARACTER RECOGNITION;OCR-(OPTICAL-CHARACTER-RECOGNITION
245;CHARACTER RECOGNITION;RECOGNITION-OCR
246;CHARACTER RECOGNITION;CHARACTERES
247;CHARACTER RECOGNITION;OFFLINE-HANDWRITTEN-CHARACTERS
248;CHARACTER RECOGNITION;OFFLINE-HCR
249;CHARACTER RECOGNITION;OFFLINE CHARACTER RECOGNITION
250;SEGMENTATION;SEGMENTATION
251;SEGMENTATION;TEXT-SEGMENTATION
252;SEGMENTATION;STROKE-SEGMENTATION
253;SEGMENTATION;SCRIPT-SEGMENTATION
254;SEGMENTATION;SEGMENTATION-ALGORITHM
255;SEGMENTATION;RECOGNITION-BASED-SEGMENTATION
256;SEGMENTATION;SEGMENTATION-BASED-RECOGNITION
257;SEGMENTATION;SEGMENTATION-FREE-RECOGNITION
258;SEGMENTATION;CONNECTED-COMPONENTS
259;SEGMENTATION;MULTIPLE-INTERACTIVE-SEGMENTATION
260;SEGMENTATION;INTEGRATED-SEGMENTATION-AND-RECOGNITION
261;SEGMENTATION;IMAGE-SEGMENTATION
262;SEGMENTATION;HANDWRITTING-SEGMENTATION
263;SEGMENTATION;HEURISTIC-OVER-SEGMENTATION
264;SEGMENTATION;STROKE-LEVEL-SEGMENTATION-AND-RECOGNITION
265;SEGMENTATION;SEGMENTATION-FREE-APPROACH
266;SEGMENTATION;SEGMENTATION-BOUNDARY
267;SEGMENTATION;OVER-SEGMENTATION
268;SEGMENTATION;FUZZY-SEGMENTATION
269;SEGMENTATION;SYMBOL-SEGMENTATION
270;SEGMENTATION;SEGMENTATION-FREE-STRATEGY
271;SEGMENTATION;HORIZONTAL-SEGMENTATION
272;SEGMENTATION;IMPLICIT-SEGMENTATION
273;SEGMENTATION;REGION-GROWING-SEGMENTATION
274;SEGMENTATION;HANDWRITING-SEGMENTATION
275;SEGMENTATION;NEIGHBORHOOD-CONNECTED-COMPONENT-ANALYSIS
276;SEGMENTATION;SEGEMENTATION
277;SEGMENTATION;PRE-SEGMENTATION
278;SEGMENTATION;OVERLAPPED
279;SEGMENTATION;HANDWRITTEN-SEGMENTATION
280;SEGMENTATION;BACKGROUND-FOREGROUND-SEGMENTATION
281;SEGMENTATION;ALLOGRAPH-SEGMENTATION
282;SEGMENTATION;STRING-SEGMENTATION
283;SEGMENTATION;AUTO-SEGMENTATION
284;SEGMENTATION;PARTIAL-SEGMENTATION
285;SEGMENTATION;SEGMENTATION-FREE
286;SEGMENTATION;OVER-SEGMENTATION-AND-MERGING
287;SEGMENTATION;GRAPHEME-OVER-SEGMENTATION
288;SEGMENTATION;SEGMENTATION-OF-TOUCHING-DESCENDERS
289;SEGMENTATION;SEGMENTATION-RECOGNITION
290;SEGMENTATION;CONNECTED-COMPONENT-LABELING
291;SEGMENTATION;LAYOUT-SEGMENTATION
292;SEGMENTATION;CONNECTED-COMPONENT-(CC)-AND-CORRELATION-SIMILARITY
293;SEGMENTATION;HOOF-SEGMENTATION
294;SEGMENTATION;TOUCHING-SEGMENTATION
295;SEGMENTATION;OVERSEGMENTATION
296;SEGMENTATION;CONNECTED-COMPONENT
297;SEGMENTATION;SVM-BASED-SEGMENTATION-VERIFICATION
298;SEGMENTATION;TEXT-DETECTION
299;SEGMENTATION;OVERLAPPED-HANDWRITING
300;SEGMENTATION;SEGMENTATION-BASED
301;SEGMENTATION;VERTICAL-SEGMENTATION
302;SEGMENTATION;ROI-SEGMENTATION
303;SEGMENTATION;FEATURE-EXTRACTION-SEGMENTATION
304;SEGMENTATION;NUMERIC-STRING-SEGMENTATION
305;SEGMENTATION;END-TO-END-SEGMENTATION-AND-RECOGNITION
306;SEGMENTATION;SEMANTIC-SEGMENTATION
307;SEGMENTATION;SEGMENTATION-BASED-FRACTAL-TEXTURE-ANALYSIS
308;SEGMENTATION;INSTANCE-SEGMENTATION
309;SEGMENTATION;DISTANCE-BASED-SEGMENTATION
310;SEGMENTATION;SECURITY-CONNECTED-COMPONENTS
311;SEGMENTATION;COARSE-AND-FINE-SEGMENTATION
312;SEGMENTATION;CONNECTED-COMPONENTS-LABELLING
313;SEGMENTATION;SEGMENTATION-DRIVEN
314;SEGMENTATION;SEGMENTATION-METHODS
315;SEGMENTATION;ADDRESS-SEGMENTATION
316;SEGMENTATION;SEGMENTATION-FREE-HANDWRITING-RECOGNITION
317;SEGMENTATION;CONNECTED-COMPONENT-ANALYSIS
318;SEGMENTATION;SEGMENTATION-AND-RECOGNITION
319;SEGMENTATION;DISCONNECTED-PENMANSHIP-EXAMINATION
320;SEGMENTATION;CONNECTED-SYSTEMS
321;SEGMENTATION;SEGMENTATION-OF-TEXT-IMAGES
322;SEGMENTATION;DOCUMENTATION.-LAYOUT-SEGMENTATION
323;SEGMENTATION;SEGMENTATION-FREE-OCR
324;SEGMENTATION;SEGMENTATION-OF-HANDWRITTEN-COUNT-AND-DATE
325;SEGMENTATION;SEGMENTATION-TIME
326;SEGMENTATION;CONNECTED
327;SEGMENTATION;PAGE-SEGMENTATION
328;SEGMENTATION;HANDWRITTEN-DOCUMENT-SEGMENTATION
329;SEGMENTATION;TEXT-BLOCK-SEGMENTATION
330;SEGMENTATION;TOUCHING
331;SEGMENTATION;LETTER-SEGMENTATION-ALGORITHMS
332;SEGMENTATION;OVERLAPPING-CONNECTED-COMPONENT-SEPARATION
333;SEGMENTATION;SEGMENTATION-ALGORITHMS
334;SEGMENTATION;RADICAL-SEGMENTATION
335;SEGMENTATION;URDU-HANDWRITTEN-LIGATURE-SEGMENTATION
336;SEGMENTATION;HISTORICAL-TEXT-SEGMENTATION
337;SEGMENTATION;MIXED-TEXT-SEGMENTATION
338;SEGMENTATION;CONNECTED-DOMAIN
339;SEGMENTATION;THRESHOLD-SEGMENTATION
340;SEGMENTATION;AND-PHRASES:-SUPERVISED-CLASSIFICATION-BASED-SEGMENTATION
341;SEGMENTATION;HANDWRITTEN-SIGNATURE-SEGMENTATION
342;SEGMENTATION;DEVNAGARI-AND-SEGMENTATION
343;SEGMENTATION;CONNECTED-COMPONENT-ANALYSIS.
344;SEGMENTATION;HANDWRITTEN-TEXT-SEGMENTATION
345;SEGMENTATION;SEGMENTATION-VALIDATION
346;SEGMENTATION;CONNECTED-DOMAIN-ALGORITHM
347;SEGMENTATION;DIACRITICS-SEGMENTATION
348;SEGMENTATION;TOUCHING-SYMBOL-SEGMENTATION
349;SEGMENTATION;CONNECTED-PIXELS-LABELING
350;SEGMENTATION;SEQUENTIAL-SEGMENTATION
351;PATTERN-RECOGNITION;PATTERN-RECOGNITION
352;PATTERN-RECOGNITION;LEARNING
353;PATTERN-RECOGNITION;MACHINE-LEARNING
354;PATTERN-RECOGNITION;LEARNING-ALGORITHMS
355;PATTERN-RECOGNITION;ON-CHIP-LEARNING
356;PATTERN-RECOGNITION;CONSTRUCTIVE-LEARNING-RULES
357;PATTERN-RECOGNITION;VISUAL-PATTERN-RECOGNITION
358;PATTERN-RECOGNITION;ARTIFICIAL-INTELLIGENCE
359;PATTERN-RECOGNITION;LEARNING-SYSTEMS
360;PATTERN-RECOGNITION;LOCAL-LEARNING-FRAMEWORK
361;PATTERN-RECOGNITION;HYBRID-LEARNING
362;PATTERN-RECOGNITION;LEARNING-VECTOR-QUANTIZATION-(LVQ)
363;PATTERN-RECOGNITION;OPTIMIZATION
364;PATTERN-RECOGNITION;HIERARCHICAL-LEARNING-ARCHITECTURES
365;PATTERN-RECOGNITION;MODAL-LEARNING
366;PATTERN-RECOGNITION;NATURALNESS-LEARNING
367;PATTERN-RECOGNITION;WEB-BASED-LEARNING
368;PATTERN-RECOGNITION;MATHEMATICS-LEARNING
369;PATTERN-RECOGNITION;MIRROR-IMAGE-LEARNING
370;PATTERN-RECOGNITION;MOTOR-LEARNING
371;PATTERN-RECOGNITION;LEARNING-AUTOMATA
372;PATTERN-RECOGNITION;ERROR-SAMPLES-REINFORCEMENT-LEARNING
373;PATTERN-RECOGNITION;OPTIMAL-WEIGHT-LEARNING
374;PATTERN-RECOGNITION;SUBSPACE-LEARNING
375;PATTERN-RECOGNITION;PATTERN-RECONGITION
376;PATTERN-RECOGNITION;REPRESENTATION-LEARNING
377;PATTERN-RECOGNITION;ACTIVE-LEARNING
378;PATTERN-RECOGNITION;LEARNING-SAMPLE-GENERATION
379;PATTERN-RECOGNITION;LEARNING-RULE
380;PATTERN-RECOGNITION;DATA-MINING
381;PATTERN-RECOGNITION;CONFIDENCE-LEARNING
382;PATTERN-RECOGNITION;STRING-LEVEL-LEARNING
383;PATTERN-RECOGNITION;SUB-STRUCTURE-LEARNING
384;PATTERN-RECOGNITION;DECREMENTAL-LEARNING
385;PATTERN-RECOGNITION;MULTIPE-INSTANCE-LEARNING
386;PATTERN-RECOGNITION;LEARNING-CURVE
387;PATTERN-RECOGNITION;LEARNING-FUNCTION
388;PATTERN-RECOGNITION;PRESCHOOL-CHILDREN-LEARNING
389;PATTERN-RECOGNITION;TIME-SEQUENCE-LEARNING
390;PATTERN-RECOGNITION;LEARNING-FREE
391;PATTERN-RECOGNITION;MACHINE-LEARNING-TECHNIQUES
392;PATTERN-RECOGNITION;LEARNING-ANALYTICS
393;PATTERN-RECOGNITION;LARGE-MARGIN-SEMI-SUPERVISED-LEARNING
394;PATTERN-RECOGNITION;OPPOSITION-BASED-LEARNING
395;PATTERN-RECOGNITION;METRIC-LEARNING
396;PATTERN-RECOGNITION;SEMI-SUPERVISED-MACHIME-LEARNING
397;PATTERN-RECOGNITION;FRACTIONAL-ORDER-GRADIENT-DESCENT-LEARNING
398;PATTERN-RECOGNITION;LEARNING-RATE-DECAY
399;PATTERN-RECOGNITION;MACHINE-LEARNING-ALGORITHM
400;PATTERN-RECOGNITION;ADAPTIVE-LEARNING
401;PATTERN-RECOGNITION;PAIRED-ADVERSARIAL-LEARNING
402;PATTERN-RECOGNITION;MACHINE-LEARNING-APPROACH
403;PATTERN-RECOGNITION;HANDWRITING-DETECTION-MACHINE-LEARNING
404;PATTERN-RECOGNITION;MOBILE-LEARNING
405;PATTERN-RECOGNITION;MULTITASK-LEARNING
406;PATTERN-RECOGNITION;MULTIPLE-KERNEL-LEARNING
407;PATTERN-RECOGNITION;MALSBURG-LEARNING
408;PATTERN-RECOGNITION;MULTI-MODAL-LEARNING
409;PATTERN-RECOGNITION;MULTI-TASK-LEARNING-(MTL)
410;PATTERN-RECOGNITION;LEARNING-HANDWRITING
411;PATTERN-RECOGNITION;STOCHASTIC-GRADIENT-LEARNING
412;PATTERN-RECOGNITION;THE-KERNEL-AND-THE-RANGE-SPACE-PROJECTION-LEARNING
413;PATTERN-RECOGNITION;MACHINE-LEARNING-(ML)
414;PATTERN-RECOGNITION;BAUM-WELCH-LEARNING-ALGORITHM
